0	70	243	200	95	157	233	65	16	102	121	40	74	152	61
70	0	305	270	161	95	302	45	76	157	182	108	108	220	57
243	305	0	94	150	400	73	308	248	150	123	222	205	102	259
200	270	94	0	110	355	37	259	199	140	107	167	192	54	237
95	161	150	110	0	251	140	157	97	47	37	71	86	59	126
157	95	400	355	251	0	389	97	156	251	276	187	203	309	150
233	302	73	37	140	389	0	293	233	162	129	202	217	81	265
65	45	308	259	157	97	293	0	60	166	186	91	129	214	89
16	76	248	199	97	156	233	60	0	111	127	32	88	153	76
102	157	150	140	47	251	162	166	111	0	33	97	55	86	108
121	182	123	107	37	276	129	186	127	33	0	105	88	54	138
40	108	222	167	71	187	202	91	32	97	105	0	92	124	98
74	108	205	192	86	203	217	129	88	55	88	92	0	138	55
152	220	102	54	59	309	81	214	153	86	54	124	138	0	184
61	57	259	237	126	150	265	89	76	108	138	98	55	184	0
