0	78	327	235	117	176	275	75	20	128	150	60	86	184	80
78	0	478	311	194	99	351	54	120	200	227	158	132	262	70
327	478	0	123	207	510	102	400	320	220	180	278	346	135	411
235	311	123	0	136	408	43	303	231	160	147	190	235	66	284
117	194	207	136	0	291	177	196	127	55	53	88	114	71	155
176	99	510	408	291	0	449	116	188	298	325	219	231	360	168
275	351	102	43	177	449	0	344	272	200	164	231	274	107	325
75	54	400	303	196	116	344	0	74	207	230	116	162	254	116
20	120	320	231	127	188	272	74	0	146	161	44	120	182	96
128	200	220	160	55	298	200	207	146	0	36	119	76	94	133
150	227	180	147	53	325	164	230	161	36	0	131	110	59	164
60	158	278	190	88	219	231	116	44	119	131	0	114	141	122
86	132	346	235	114	231	274	162	120	76	110	114	0	169	66
184	262	135	66	71	360	107	254	182	94	59	141	169	0	223
80	70	411	284	155	168	325	116	96	133	164	122	66	223	0
